Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
665,JT Riddle*,30,CIN,NL,2,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,36,1,0,0,0,0,0,/5H,riddljt01
666,Austin Riley,25,ATL,NL,120,523,471,71,136,34,2,31,78,2,0,38,126,.289,.356,.567,.923,150,267,9,12,0,2,1,*5/H,rileyau01
667,Edwin Rios*,28,LAD,NL,27,92,86,12,21,1,0,7,17,0,1,5,36,.244,.293,.500,.793,114,43,2,1,0,0,1,D/H35,riosed01
668,Alfonso Rivas*,25,CHC,NL,71,201,177,19,41,4,1,3,24,3,0,20,63,.232,.313,.316,.630,78,56,1,2,0,2,1,3/HD79,rivasal01
669,Emmanuel Rivera,26,TOT,MLB,76,263,242,34,59,12,3,10,28,0,2,17,59,.244,.304,.442,.746,109,107,7,4,0,0,0,5/HD3,riverem01
670,Emmanuel Rivera,26,KCR,AL,63,211,198,24,47,8,3,6,22,0,0,11,46,.237,.284,.399,.683,92,79,7,2,0,0,0,5/HD3,riverem01
671,Emmanuel Rivera,26,ARI,NL,13,52,44,10,12,4,0,4,6,0,2,6,13,.273,.385,.636,1.021,183,28,0,2,0,0,0,/5D3H,riverem01
672,Sebastian Rivero,23,KCR,AL,7,14,12,0,0,0,0,0,0,0,0,1,6,.000,.077,.000,.077,-75,0,0,0,1,0,0,/2,riverse01
673,Anthony Rizzo*,32,NYY,AL,108,456,386,66,85,19,1,28,68,6,3,51,85,.220,.336,.492,.828,135,190,10,17,0,2,5,*3/DH,rizzoan01
674,Luis Robert,24,CHW,AL,84,358,338,52,102,15,0,12,56,11,3,16,66,.302,.338,.453,.791,123,153,4,3,0,1,1,*8/DH,roberlu01
675,David Robertson,37,TOT,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,roberda08
676,David Robertson,37,CHC,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,roberda08
677,Kramer Robertson,27,STL,NL,2,1,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/HD6,roberkr01
678,Victor Robles,25,WSN,NL,103,314,281,38,64,9,1,4,28,13,1,15,80,.228,.288,.310,.597,74,87,3,9,8,1,0,*8/HD,roblevi01
679,Brendan Rodgers,25,COL,NL,109,471,430,60,123,26,2,11,58,0,0,34,78,.286,.338,.433,.770,106,186,21,2,0,5,0,*4,rodgebr02
680,Joely Rodriguez*,30,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,rodrijo06
681,Julio Rodriguez,21,SEA,AL,104,441,404,62,109,19,3,19,62,22,6,29,119,.270,.329,.473,.802,133,191,6,7,0,1,3,*8/H,rodriju01
